,Ridge,PLSR,Random Forest,XGBoost,GPR,ANN
10%,0.4970740382339319,0.3679581211346117,0.4956854625700291,0.4513443223456829,-0.0023035036285279364,-1.0
20%,0.4701692245505845,0.427719635861756,0.4905300702354728,0.537388946248059,0.46708949287812995,-1.0
30%,0.4793536084011879,0.4600467205425567,0.6382128802522352,0.7090585493512221,0.6691862466062597,-1.0
50%,0.5058318404913147,0.5018352112747716,0.6522368999898527,0.718699938062368,0.7130440716883797,-1.0
70%,0.5061528531153878,0.4966828674459097,0.6182359263179766,0.6870947742665339,0.7748909520958753,-1.0
100%,0.5130623261315082,0.5097905191771299,0.6181414887301347,0.6718901321927397,0.7654294433505282,0.04855298786815254
