Noise_Level,Ridge,PLSR,Random Forest,XGBoost,GPR,ANN
0.0,0.5130623261315082,0.5097905191771299,0.6181414887301351,0.6718901321927397,0.749308383723535,0.04855298786815254
0.5,0.16349006458002635,0.1533616904943117,0.30183529495089356,0.24317713403102148,0.2749644865408677,-0.7410068968857026
1.0,-0.3466933016346492,-0.36887552630518927,-0.058418958556254674,-0.0020479711823280233,-1.0,-1.0
2.0,-1.0,-1.0,-0.504541381286256,-0.3582905359082251,-1.0,-1.0
3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
