Model,R²_train,R²_test,RMSE_test,MAE_test,Train_Time_s,Inference_Time_s
Ridge,0.6339380000571423,0.5130623261315082,3.4360665306374973,2.845412721913883,0.17492103576660156,4.76837158203125e-05
PLSR,0.6339998298640894,0.5097905191771299,3.4475909266087363,2.8548982217357786,0.002202749252319336,5.459785461425781e-05
Random Forest,0.9609973883642322,0.6181414887301346,3.042818957788357,2.275560094004637,0.2717413902282715,0.03391313552856445
XGBoost,0.9999829567071689,0.6718901321927397,2.8205546689748884,2.159557034723798,0.14055943489074707,0.00099945068359375
GPR,0.8701544583211629,0.749308383723535,2.465441948424967,1.9733254050167097,0.5412302017211914,0.0006742477416992188
ANN,0.90967590322971,0.04855298786815254,4.803050790534045,3.675114594019714,2.03666353225708,0.00026726722717285156
