n_components,PLSR_R2,PCR_R2
1,0.5917405647789306,0.006086254529391488
2,0.6141106967664467,0.0016595654183564346
3,0.6141847432088362,0.201584019015428
4,0.6141961649931533,0.20262008358149375
5,0.6141804583669039,0.20150829765498446
6,0.6141814313061529,0.2278989115788771
7,0.6141810615626054,0.19216632835156122
8,0.6141811214619622,0.535111623095379
9,0.6141811233540441,0.5102176727687678
10,0.6141811233623727,0.5097874303461085
