Feature,OLS_Coeff,Ridge_Coeff
GDP_Fucose_uM,2.606965000240478,2.6030096655067108
Mn_uM,1.6836526609964215,1.6809373275487631
Uridine_mM,0.5549245760411209,0.5539036943997097
pH,0.011531804699133105,0.011474330257181323
DO_pct,0.9170979900318638,0.9156677859401244
pCO2_mmHg,-1.123565291236868,-1.1219648329487217
Temperature_C,2.3106409621896984,2.307068653996511
VCD_1e6_per_mL,0.40118573245606437,0.4005444231166297
Osmolality_mOsm,-0.5693049278464992,-0.5684748440599725
Lactate_g_per_L,-0.9272183353313429,-0.9258121917546772
