,Ridge,PLSR,Random Forest,XGBoost,GPR,ANN
10%,0.570983773912925,0.5704189331055504,0.7200710925540377,0.7657246812523992,0.7971841384211711,0.587086236469389
20%,0.5729342402379695,0.5729005253745727,0.7532950063087616,0.7871443684983035,0.7916089950816263,0.7310086184091136
30%,0.5724243731320457,0.5724219866984229,0.7667880664928897,0.7955190209997669,0.7911705085707922,0.7508276606989537
50%,0.5714965748811254,0.5716459656703945,0.7768511344663979,0.8018844842665551,0.80920402765799,0.7882809724360995
70%,0.5723205393935961,0.5723826277184605,0.7819687314604828,0.8063852322288989,0.7720165885479647,0.7980616096233628
100%,0.5726796772602096,0.5727222767052259,0.7850544480140115,0.8156780125108913,0.7931833646397202,0.8052961817001606
