Feature,Perm_Importance_Mean,Perm_Importance_Std
Temperature_C,0.5226981271850886,0.0910956040076619
GDP_Fucose_uM,0.4360830092566178,0.07222246667071715
pH,0.20534027927383677,0.032031946294873125
Mn_uM,0.10318974018192892,0.03277482004790727
pCO2_mmHg,0.0689615118973113,0.016217446405280285
DO_pct,0.025281367101023976,0.007125772387641598
Lactate_g_per_L,0.011336936234172734,0.007546902315543574
Uridine_mM,0.008586207469404436,0.007119537987131672
VCD_1e6_per_mL,0.0031949882287534924,0.004885413173006437
Osmolality_mOsm,0.0008902007918066316,0.005051562776944438
