Model,R²_test,RMSE_test,MAE_test,CV_R²,CV_R²_std,n_features
Raw Features Only,0.6884584970396124,2.74841829777646,2.2205094843664765,0.7797389069020725,0.02680179563673627,10
Engineered Only,0.46713168927349513,3.5944696648720162,2.87435479253989,0.5240284903459889,0.10510785262231645,5
Hybrid (Raw + Engineered),0.722085257587288,2.5958564261514785,2.042049180178283,0.784639759801993,0.029652398808819338,15
