n_components,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std
1,0.5685160068138729,0.008643578633934208,3.7595274265265872,0.021350521474299878
2,0.569252941938503,0.009950908306168073,3.7561905225428256,0.021626777846347273
3,0.5692718355643971,0.009948745575582469,3.7561085088812325,0.021662601795954983
4,0.5692716544267037,0.009948587700334896,3.756109319157145,0.021663255147723392
5,0.5692716498570178,0.009948592839883884,3.75610933831839,0.02166321414178542
6,0.5692716499285956,0.009948592284786874,3.7561093380739754,0.021663216295442746
7,0.569271649920806,0.009948592280557106,3.7561093381081507,0.021663216256727524
8,0.56927164992043,0.009948592280323717,3.7561093381098103,0.021663216255942423
9,0.5692716499204314,0.009948592280326969,3.7561093381098045,0.0216632162559552
10,0.5692716499204314,0.00994859228032697,3.7561093381098045,0.021663216255955228
